mof name, num atoms with OMS, all metal atoms with open site(s)
CEHWIX_clean.cif, 4, Ni1 Ni2 Ni3 Ni4
CEHWOD_clean.cif, 4, Ni1 Ni2 Ni3 Ni4
CEJBEA_clean.cif, no open metal sites detected
CEJCAW_clean.cif, 3, Cu2 Cu4 Cu5
CEJVET_clean.cif, 4, Ce3 Ce7 Ce11 Ce15
CEJZAU_clean.cif, no open metal sites detected
CEKHIL_clean.cif, 2, Co2 Co4
CEKROB_clean.cif, no open metal sites detected
CEKRUH_clean.cif, no open metal sites detected
CELKEL_clean.cif, 8, Cu1 Cu2 Cu3 Cu4 Cu5 Cu6 Cu7 Cu8
CELZEA_clean.cif, 4, Mo1 Mo2 Mo3 Mo4
CELZIE_SL.cif, no open metal sites detected
CEMYUQ_clean.cif, 1, Pt1
CENJIQ_clean.cif, 18, Cu1 Cu2 Cu3 Cu4 Cu5 Cu6 Cu7 Cu8 Cu9 Cu10 Cu11 Cu12 Cu13 Cu14 Cu15 Cu16 Cu17 Cu18
CENKAJ_clean.cif, 18, Cu1 Cu2 Cu3 Cu4 Cu5 Cu6 Cu7 Cu8 Cu9 Cu10 Cu11 Cu12 Cu13 Cu14 Cu15 Cu16 Cu17 Cu18
CENPUI_clean.cif, 3, Mg1 Mg2 Mg3
CEQBUV_charged.cif, 12, Zn1 Zn2 Zn4 Zn5 Zn7 Zn8 Zn10 Zn11 Zn13 Zn14 Zn16 Zn17
CERMIV_clean.cif, no open metal sites detected
CESYEF01_clean.cif, 4, Ag1 Ag2 Ag3 Ag4
CESYEF_clean.cif, 4, Ag1 Ag2 Ag3 Ag4
CETFOX_clean.cif, 4, Nd1 Nd2 Nd3 Nd4
CETFUD_clean.cif, 2, Pr1 Pr2
CETGOY_clean.cif, 6, Ni1 Ni2 Ni3 Ni4 Ni5 Ni6
CETHEQ_clean.cif, 9, Cu1 Cu2 Cu3 Cu4 Cu5 Cu6 Cu7 Cu8 Cu9
CETJAN_clean_h.cif, no open metal sites detected
CETNUL_clean.cif, no open metal sites detected
CETVAA_clean.cif, 2, Cu1 Cu2
CEXHET_clean.cif, 10, Ag1 Ag2 Ag3 Ag4 Ag5 Ag7 Ag8 Ag9 Ag10 Ag11
CEXHOD_clean.cif, 8, Ag1 Ag2 Ag3 Ag4 Ag5 Ag6 Ag7 Ag8
CEXJOF_clean.cif, no open metal sites detected
CEXSEE_charged.cif, 8, Ag1 Ag2 Ag3 Ag4 Ag5 Ag6 Ag7 Ag8
CEYPUT01_clean.cif, no open metal sites detected
CEYPUT_clean.cif, no open metal sites detected
CEZFIY_clean.cif, no open metal sites detected
CEZMUR_charged.cif, no open metal sites detected
CEZNAY_clean.cif, 2, Na1 Na2
cg034025wsi20030214_115651_clean.cif, 4, Er1 Er2 Er3 Er4
cg060732osi20070605_042406_clean.cif, no open metal sites detected
cg0702636-file001_clean.cif, no open metal sites detected
cg0702636-file002_clean.cif, no open metal sites detected
cg100226u_si_003_clean.cif, no open metal sites detected
cg100226u_si_004_clean.cif, no open metal sites detected
cg200332y_si_002_clean.cif, no open metal sites detected
cg200606r_si_001_clean.cif, no open metal sites detected
cg200615s_si_002_clean.cif, 2, Cu1 Cu2
cg300302n_si_004_clean.cif, no open metal sites detected
cg300827e_si_003_clean.cif, no open metal sites detected
cg301577a_si_002_clean.cif, 12, Cu1 Cu2 Cu3 Cu4 Cu5 Cu6 Cu7 Cu8 Cu9 Cu10 Cu11 Cu12
cg301725z_si_002_clean.cif, 8, Mn1 Mn2 Mn3 Mn4 Mn5 Mn6 Mn7 Mn8
cg301725z_si_003_clean.cif, 8, Mn1 Mn2 Mn3 Mn4 Mn5 Mn6 Mn7 Mn8
cg301725z_si_004_clean.cif, no open metal sites detected
cg400449c_si_001_clean.cif, 24, Cu1 Cu2 Cu3 Cu4 Cu5 Cu6 Cu7 Cu8 Cu9 Cu10 Cu11 Cu12 Cu13 Cu14 Cu15 Cu16 Cu17 Cu18 Cu19 Cu20 Cu21 Cu22 Cu23 Cu24
cg401858s_si_002_clean.cif, 4, Ag1 Ag2 Ag3 Ag4
cg401887b_si_003_clean.cif, 8, Zn1 Zn2 Zn3 Zn4 Zn5 Zn6 Zn7 Zn8
cg401887b_si_004_clean.cif, 4, Cu2 Cu4 Cu5 Cu8
cg500033b_si_002_clean.cif, no open metal sites detected
cg500033b_si_003_clean.cif, 4, Zn1 Zn2 Zn3 Zn4
cg500091k_si_002_clean.cif, 8, Co2 Co3 Co5 Co6 Co8 Co9 Co10 Co12
cg500121f_si_004_clean.cif, no open metal sites detected
cg500149s_si_002_clean.cif, 4, Cu1 Cu2 Cu3 Cu4
cg500175k_si_001_auto.cif, 40, Cu865 Cu866 Cu869 Cu870 Cu871 Cu872 Cu873 Cu874 Cu875 Cu876 Cu877 Cu878 Cu879 Cu880 Cu882 Cu883 Cu885 Cu886 Cu887 Cu888 Cu889 Cu890 Cu891 Cu892 Cu893 Cu894 Cu895 Cu897 Cu901 Cu902 Cu903 Cu904 Cu905 Cu906 Cu907 Cu908 Cu909 Cu910 Cu911 Cu912
cg500192d_si_003_clean.cif, no open metal sites detected
cg500975j_si_002_clean.cif, no open metal sites detected
cg501012e_si_002_clean.cif, no open metal sites detected
cg5010616_si_003_clean.cif, no open metal sites detected
cg5010616_si_007_clean.cif, no open metal sites detected
cg501141m_si_002_clean.cif, 4, Co3 Co4 Co6 Co11
cg501231v_si_001_clean.cif, no open metal sites detected
cg5012617_si_002_clean.cif, 24, Nd1 Nd2 Nd3 Nd4 Nd5 Nd6 Nd7 Nd8 Nd9 Nd10 Nd11 Nd12 Nd13 Nd14 Nd15 Nd16 Cu1 Cu2 Cu3 Cu4 Cu5 Cu6 Cu7 Cu8
cg501279y_si_002_clean.cif, no open metal sites detected
cg501332u_si_002_clean.cif, 2, Cu2 Cu7
cg501560z_si_002_clean.cif, no open metal sites detected
cg501560z_si_003_clean.cif, 4, Mn2 Mn3 Mn4 Mn5
cg501730q_si_002_clean.cif, 2, Cu10 Cu12
cg5b00056_si_004_clean.cif, no open metal sites detected
cg8002564_si_006_clean.cif, no open metal sites detected
cg8002564_si_008_clean.cif, no open metal sites detected
cg800424t_si_002_clean.cif, 3, Cd1 Cd2 Cd3
cg801164f_si_001_clean.cif, 8, Co3 Co4 Co6 Co13 Co15 Co16 Co18 Co24
cg8013317_si_003_clean.cif, 2, Co1 Co2
cg900153m_si_001_clean.cif, 28, Zn1 Zn2 Zn3 Zn4 Zn5 Zn6 Zn7 Zn8 Zn9 Zn10 Zn11 Zn12 Zn13 Zn14 Zn15 Zn16 Zn17 Zn18 Zn19 Zn20 Zn21 Zn22 Zn23 Zn24 Zn25 Zn26 Zn27 Zn28
cg900349c_si_002_clean.cif, 12, Zn1 Zn2 Zn3 Zn4 Zn5 Zn6 Zn7 Zn8 Zn9 Zn10 Zn11 Zn12
cg900505v_si_002_clean.cif, no open metal sites detected
cg900505v_si_004_clean.cif, no open metal sites detected
cg901114e_si_002_clean.cif, 6, Na1 Na2 Ce1 Ce2 Ce3 Ce4
cg901128k_si_004_clean.cif, no open metal sites detected
cg901312t_si_002_clean.cif, 48, Zn2 Zn3 Zn7 Zn9 Zn10 Zn11 Zn12 Zn14 Zn15 Zn25 Zn26 Zn27 Zn29 Zn31 Zn32 Zn35 Zn36 Zn37 Zn38 Zn40 Zn41 Zn44 Zn45 Zn47 Zn51 Zn56 Zn57 Zn62 Zn64 Zn66 Zn67 Zn68 Zn69 Zn70 Zn71 Zn72 Zn73 Zn75 Zn77 Zn78 Zn80 Zn85 Zn86 Zn87 Zn88 Zn90 Zn92 Zn93
CICSOW01_clean.cif, no open metal sites detected
CICSOW02_clean.cif, no open metal sites detected
CICSOW_clean.cif, no open metal sites detected
CICYIX_clean.cif, 1, Cd1
CIDKUX_clean.cif, 4, Cu1 Cu2 Cu3 Cu4
CIFDOM_clean.cif, 4, Mn1 Mn2 Mn3 Mn4
CIFDUS_clean.cif, 4, Mn1 Mn2 Mn3 Mn4
CIFJAE_clean.cif, 4, Mn1 Mn2 Mn3 Mn4
CIFLUA_clean.cif, 4, Co3 Co6 Co9 Co12
CIFMAH_clean.cif, 12, Co1 Co2 Co3 Co4 Co5 Co6 Co7 Co8 Co9 Co10 Co11 Co12
CIFMEL_clean.cif, 8, Co1 Co2 Co3 Co4 Co5 Co6 Co7 Co8
CIFMIP_clean.cif, 8, Co2 Co3 Co5 Co6 Co8 Co9 Co11 Co12
CIGDUT_clean.cif, 4, Dy1 Dy2 Dy5 Dy6
CIGFAB_clean.cif, 4, Tb1 Tb2 Tb5 Tb6
CIGFEF_clean.cif, 4, Nd1 Nd2 Nd3 Nd4
CIGXIA_manual.cif, 203, Fe1 Fe2 Fe3 Fe4 Fe5 Fe6 Fe7 Fe8 Fe9 Fe10 Fe11 Fe12 Fe13 Fe14 Fe15 Fe16 Fe17 Fe18 Fe19 Fe20 Fe21 Fe22 Fe23 Fe24 Fe25 Fe26 Fe27 Fe28 Fe29 Fe30 Fe31 Fe32 Fe33 Fe34 Fe35 Fe36 Fe37 Fe38 Fe39 Fe40 Fe41 Fe42 Fe43 Fe44 Fe45 Fe46 Fe47 Fe48 Fe49 Fe50 Fe51 Fe52 Fe53 Fe54 Fe55 Fe56 Fe57 Fe58 Fe59 Fe60 Fe61 Fe62 Fe63 Fe64 Fe65 Fe66 Fe67 Fe68 Fe69 Fe70 Fe71 Fe72 Fe73 Fe74 Fe75 Fe76 Fe77 Fe78 Fe79 Fe80 Fe81 Fe82 Fe83 Fe84 Fe85 Fe86 Fe87 Fe88 Fe89 Fe90 Fe91 Fe92 Fe93 Fe94 Fe95 Fe96 Fe97 Fe98 Fe99 Fe100 Fe101 Fe102 Fe103 Fe104 Fe105 Fe106 Fe107 Fe108 Fe109 Fe110 Fe111 Fe112 Fe113 Fe114 Fe115 Fe116 Fe117 Fe118 Fe119 Fe120 Fe121 Fe122 Fe123 Fe124 Fe125 Fe126 Fe127 Fe128 Fe129 Fe130 Fe131 Fe132 Fe133 Fe134 Fe135 Fe136 Fe137 Fe138 Fe139 Fe140 Fe141 Fe142 Fe143 Fe144 Fe145 Fe146 Fe147 Fe148 Fe149 Fe150 Fe151 Fe152 Fe153 Fe154 Fe156 Fe157 Fe158 Fe159 Fe160 Fe161 Fe162 Fe163 Fe164 Fe165 Fe166 Fe167 Fe168 Fe169 Fe170 Fe171 Fe172 Fe173 Fe174 Fe175 Fe176 Fe177 Fe178 Fe179 Fe180 Fe181 Fe182 Fe183 Fe184 Fe185 Fe186 Fe187 Fe188 Fe189 Fe190 Fe191 Fe192 Fe193 Fe194 Fe195 Fe196 Fe197 Fe198 Fe199 Fe200 Fe201 Fe202 Fe203 Fe204
CIGYAU_clean.cif, 8, Cu1 Cu2 Cu3 Cu4 Cu5 Cu6 Cu7 Cu8
CIJVOH01_clean.cif, 8, Cd1 Cd2 Cd3 Cd4 Cd5 Cd6 Cd7 Cd8
CIJVOH_clean.cif, 8, Cd1 Cd2 Cd3 Cd4 Cd5 Cd6 Cd7 Cd8
CILDAD_clean.cif, 4, Cu1 Cu2 Cu3 Cu4
CIMTAV_charged.cif, no open metal sites detected
CIMTEZ_charged.cif, no open metal sites detected
CIPCUB_clean.cif, 4, Ag1 Ag2 Ag3 Ag4
CIPREZ_charged.cif, no open metal sites detected
CIPRID_charged.cif, no open metal sites detected
CIQYUX_clean.cif, no open metal sites detected
CIRTUU_clean.cif, 48, Cu1 Cu2 Cu3 Cu4 Cu5 Cu6 Cu7 Cu8 Cu9 Cu10 Cu11 Cu12 Cu13 Cu14 Cu15 Cu16 Cu17 Cu18 Cu19 Cu20 Cu21 Cu22 Cu23 Cu24 Cu25 Cu26 Cu27 Cu28 Cu29 Cu30 Cu31 Cu32 Cu33 Cu34 Cu35 Cu36 Cu37 Cu38 Cu39 Cu40 Cu41 Cu42 Cu43 Cu44 Cu45 Cu46 Cu47 Cu48
CISLUN_clean.cif, 4, Cu1 Cu2 Cu3 Cu4
CISMEY01_clean.cif, 4, Cd1 Cd2 Cd3 Cd4
CISMEY_clean.cif, 4, Cd1 Cd2 Cd3 Cd4
CISMIC_clean.cif, 4, Co1 Co2 Co3 Co4
CISXEJ_clean.cif, 4, Pb1 Na2 Pb2 Na4
CITXUZ_clean.cif, 4, Cu5 Cu6 Cu7 Cu8
CITZIP_manual.cif, no open metal sites detected
CIVTEH_clean.cif, 4, Cu1 Cu2 Cu3 Cu4
CIWREG_clean.cif, 24, Zn1 Zn2 Zn3 Zn4 Zn5 Zn6 Zn7 Zn8 Zn9 Zn10 Zn11 Zn12 Zn13 Zn14 Zn15 Zn16 Zn17 Zn18 Zn19 Zn20 Zn21 Zn22 Zn23 Zn24
CIWRIK_clean.cif, 24, Zn1 Zn2 Zn3 Zn4 Zn5 Zn6 Zn7 Zn8 Zn9 Zn10 Zn11 Zn12 Zn13 Zn14 Zn15 Zn16 Zn17 Zn18 Zn19 Zn20 Zn21 Zn22 Zn23 Zn24
CIWROQ_clean.cif, 24, Zn1 Zn2 Zn3 Zn4 Zn5 Zn6 Zn7 Zn8 Zn9 Zn10 Zn11 Zn12 Zn13 Zn14 Zn15 Zn16 Zn17 Zn18 Zn19 Zn20 Zn21 Zn22 Zn23 Zn24
CIWRUW_clean.cif, 24, Zn1 Zn2 Zn3 Zn4 Zn5 Zn6 Zn7 Zn8 Zn9 Zn10 Zn11 Zn12 Zn13 Zn14 Zn15 Zn16 Zn17 Zn18 Zn19 Zn20 Zn21 Zn22 Zn23 Zn24
CIWSAD_clean.cif, 24, Zn1 Zn2 Zn3 Zn4 Zn5 Zn6 Zn7 Zn8 Zn9 Zn10 Zn11 Zn12 Zn13 Zn14 Zn15 Zn16 Zn17 Zn18 Zn19 Zn20 Zn21 Zn22 Zn23 Zn24
CIWYUD_clean.cif, 2, Co3 Co6
CIWZEP_clean.cif, no open metal sites detected
CIWZIT_clean.cif, no open metal sites detected
CIXBUH_clean.cif, 24, Zn1 Zn2 Zn3 Zn4 Zn5 Zn6 Zn7 Zn8 Zn9 Zn10 Zn11 Zn12 Zn13 Zn14 Zn15 Zn16 Zn17 Zn18 Zn19 Zn20 Zn21 Zn22 Zn23 Zn24
CIXCAO_clean.cif, 24, Zn1 Zn2 Zn3 Zn4 Zn5 Zn6 Zn7 Zn8 Zn9 Zn10 Zn11 Zn12 Zn13 Zn14 Zn15 Zn16 Zn17 Zn18 Zn19 Zn20 Zn21 Zn22 Zn23 Zn24
CIYZUG_clean.cif, 1, Cu2
CIZLEE_clean.cif, 4, Cd2 Cd3 Cd5 Cd6
CIZMIJ_clean.cif, 2, Zn1 Zn2
CIZPOS_clean.cif, 18, Cu1 Cu2 Cu3 Cu4 Cu5 Cu6 Cu7 Cu8 Cu9 Cu10 Cu11 Cu12 Cu13 Cu14 Cu15 Cu16 Cu17 Cu18
CIZTIP_clean.cif, 48, Ag1 Ag2 Ag3 Ag4 Ag5 Ag6 Ag7 Ag8 Ag9 Ag10 Ag11 Ag12 Ag13 Ag14 Ag15 Ag16 Ag17 Ag18 Ag19 Ag20 Ag21 Ag22 Ag23 Ag24 Ag25 Ag26 Ag27 Ag28 Ag29 Ag30 Ag31 Ag32 Ag33 Ag34 Ag35 Ag36 Ag37 Ag38 Ag39 Ag40 Ag41 Ag42 Ag43 Ag44 Ag45 Ag46 Ag47 Ag48
cm0623918si20061006_115210_clean.cif, 8, Zn1 Zn3 Zn5 Zn6 Zn10 Zn13 Zn14 Zn16
cm1008587_si_003_clean.cif, no open metal sites detected
cm202876r_si_002_clean.cif, 8, Co1 Co2 Co3 Co4 Co5 Co6 Co7 Co8
cm301726k_si_004_clean.cif, 6, Mg1 Mg2 Mg3 Mg4 Mg5 Mg6
cm303749m_si_001_clean.cif, no open metal sites detected
cm303749m_si_002_clean.cif, no open metal sites detected
cm500700z_si_002_clean.cif, 4, Eu1 Eu2 Eu3 Eu4
cm500700z_si_003_clean.cif, no open metal sites detected
cm501138g_si_002_clean.cif, 8, Cu3 Cu4 Cu5 Cu6 Cu8 Cu9 Cu10 Cu11
cm501138g_si_005_clean.cif, 10, Cu1 Cu2 Cu3 Cu6 Cu7 Cu8 Cu9 Cu10 Cu11 Cu12
cm501138g_si_006_clean.cif, 9, Cu1 Cu2 Cu5 Cu6 Cu7 Cu9 Cu10 Cu11 Cu12
cm501138g_si_008_clean.cif, 9, Cu2 Cu4 Cu5 Cu6 Cu7 Cu8 Cu9 Cu10 Cu12
cm501138g_si_009_clean.cif, 11, Cu1 Cu2 Cu3 Cu4 Cu5 Cu6 Cu7 Cu8 Cu9 Cu10 Cu11
cm501138g_si_010_clean.cif, 9, Cu1 Cu2 Cu3 Cu4 Cu5 Cu8 Cu9 Cu10 Cu11
cm501138g_si_011_clean.cif, 8, Cu1 Cu2 Cu4 Cu6 Cu8 Cu9 Cu10 Cu11
cm501138g_si_012_clean.cif, 12, Cu1 Cu2 Cu3 Cu4 Cu5 Cu6 Cu7 Cu8 Cu9 Cu10 Cu11 Cu12
cm503311x_alf100K_clean.cif, no open metal sites detected
cm503311x_alf11K_clean.cif, no open metal sites detected
cm503311x_alf125K_clean.cif, no open metal sites detected
cm503311x_alf150K_clean.cif, no open metal sites detected
cm503311x_alf175K_clean.cif, no open metal sites detected
cm503311x_alf200K_clean.cif, no open metal sites detected
cm503311x_alf225K_clean.cif, no open metal sites detected
cm503311x_alf250K_clean.cif, no open metal sites detected
cm503311x_alf275K_clean.cif, no open metal sites detected
cm503311x_alf290K_clean.cif, no open metal sites detected
cm503311x_alf300K_clean.cif, no open metal sites detected
cm503311x_alf325K_clean.cif, no open metal sites detected
cm503311x_alf350K_clean.cif, no open metal sites detected
cm503311x_alf375K_clean.cif, no open metal sites detected
cm503311x_alf400K_clean.cif, no open metal sites detected
cm503311x_alf40K_clean.cif, no open metal sites detected
cm503311x_alf425K_clean.cif, no open metal sites detected
cm503311x_alf450K_clean.cif, no open metal sites detected
cm503311x_alf475K_clean.cif, no open metal sites detected
cm503311x_alf500K_clean.cif, no open metal sites detected
cm503311x_alf70K_clean.cif, no open metal sites detected
cm503311x_aloh150K_clean.cif, no open metal sites detected
cm503311x_aloh175K_clean.cif, no open metal sites detected
cm503311x_aloh200K_clean.cif, no open metal sites detected
cm503311x_aloh225K_clean.cif, no open metal sites detected
cm503311x_aloh250K_clean.cif, no open metal sites detected
cm503311x_aloh275K_clean.cif, no open metal sites detected
cm503311x_aloh300K_clean.cif, no open metal sites detected
cm503311x_aloh325K_clean.cif, no open metal sites detected
cm503311x_aloh350K_clean.cif, no open metal sites detected
cm503311x_aloh375K_clean.cif, no open metal sites detected
cm503311x_aloh400K_clean.cif, no open metal sites detected
cm503311x_aloh425K_clean.cif, no open metal sites detected
cm503311x_aloh450K_clean.cif, no open metal sites detected
cm503311x_aloh475K_clean.cif, no open metal sites detected
cm503311x_aloh500K_clean.cif, no open metal sites detected
cm503311x_F-mil-53-Al-lp-mono_clean.cif, no open metal sites detected
cm503311x_F-mil-53-Al-lp-ortho_clean.cif, no open metal sites detected
cm503311x_F-mil-53-Al-np_clean.cif, no open metal sites detected
cm503311x_OH-mil-53-Al-lp-ortho_clean.cif, no open metal sites detected
cm504350q_si_002_clean.cif, 32, Tb1 Tb2 Tb3 Tb4 Tb5 Tb6 Tb7 Tb8 Tb9 Tb10 Tb11 Tb12 Tb13 Tb14 Tb15 Tb16 Tb17 Tb18 Tb19 Tb20 Tb21 Tb22 Tb23 Tb24 Tb25 Tb26 Tb27 Tb28 Tb29 Tb30 Tb31 Tb32
cm901983a_si_001_clean.cif, no open metal sites detected
COBWEV_clean.cif, 8, Cd1 Cd2 Cd3 Cd4 Cd5 Cd6 Cd7 Cd8
COCMAJ_clean.cif, 24, Zn1 Zn2 Zn3 Zn4 Zn5 Zn6 Zn7 Zn8 Zn9 Zn10 Zn11 Zn12 Zn13 Zn14 Zn15 Zn16 Pd1 Pd2 Pd3 Pd4 Pd5 Pd6 Pd7 Pd8
COCMOY_clean.cif, 8, Mn1 Mn2 Mn3 Mn4 Mn5 Mn6 Mn7 Mn8
COCMUE_clean.cif, 32, Mn17 Mn18 Mn19 Mn20 Mn21 Mn22 Mn23 Mn24 Mn25 Mn26 Mn27 Mn28 Mn29 Mn30 Mn31 Mn32 Mn33 Mn34 Mn35 Mn36 Mn37 Mn38 Mn39 Mn40 Mn41 Mn42 Mn43 Mn44 Mn45 Mn46 Mn47 Mn48
COCNAL_clean.cif, 16, Cd1 Cd2 Cd3 Cd5 Cd6 Cd8 Cd10 Cd11 Cd12 Cd13 Cd15 Cd17 Cd20 Cd21 Cd22 Cd24
COCNEP_clean.cif, 32, Cu1 Cu2 Cu3 Cu4 Cu5 Cu6 Cu7 Cu8 Cu9 Cu10 Cu11 Cu12 Cu13 Cu14 Cu15 Cu16 Cu17 Cu18 Cu19 Cu20 Cu21 Cu22 Cu23 Cu24 Cu25 Cu26 Cu27 Cu28 Cu29 Cu30 Cu31 Cu32
CODDAA_clean.cif, 12, V1 K1 V2 K2 V3 K3 V4 K4 V5 K5 V6 K6
CODFEH_clean.cif, 4, Mn1 Mn2 Mn3 Mn4
CODFUX_clean.cif, no open metal sites detected
CODGAE_clean.cif, no open metal sites detected
CODKOX_clean.cif, 4, Gd1 Gd2 Gd3 Gd4
CODMUF_clean.cif, 4, Zn1 Zn4 Zn7 Zn10
CODNAM_clean.cif, no open metal sites detected
CODQOD_clean.cif, 4, Ce1 Ce2 Ce3 Ce4
CODQUJ_clean.cif, 4, Sm1 Sm2 Sm3 Sm4
CODROD_clean.cif, 4, Pr1 Pr2 Pr3 Pr4
CODRUJ_clean.cif, 4, Nd1 Nd2 Nd3 Nd4
CODSAR_clean.cif, 4, Tb1 Tb2 Tb3 Tb4
CODSOF_clean.cif, 4, Zn1 Zn3 Zn4 Zn5
CODSUL_clean.cif, 4, Cd1 Cd3 Cd4 Cd6
COGKEP_clean.cif, no open metal sites detected
COGNAO_clean.cif, no open metal sites detected
COJGEO_clean.cif, 12, Zn1 Zn2 Zn3 Zn4 Zn5 Zn6 Zn7 Zn8 Cu1 Cu2 Cu3 Cu4
COJHIT_clean.cif, no open metal sites detected
COKFAK_clean.cif, 1, Co2
COKJIX_clean.cif, no open metal sites detected
COKJOD_clean.cif, no open metal sites detected
COKMEW_clean.cif, 18, Fe1 Fe2 Fe3 Fe4 Fe5 Fe6 Fe7 Fe8 Fe9 Fe10 Fe11 Fe12 Fe13 Fe14 Fe15 Fe16 Fe17 Fe18
COKMIA_clean.cif, 18, Co1 Co2 Co3 Co4 Co5 Co6 Co7 Co8 Co9 Co10 Co11 Co12 Co13 Co14 Co15 Co16 Co17 Co18
COKMOG_clean.cif, 18, Cu1 Cu2 Cu3 Cu4 Cu5 Cu6 Cu7 Cu8 Cu9 Cu10 Cu11 Cu12 Cu13 Cu14 Cu15 Cu16 Cu17 Cu18
COKMUM_clean.cif, 18, Mn1 Mn2 Mn3 Mn4 Mn5 Mn6 Mn7 Mn8 Mn9 Mn10 Mn11 Mn12 Mn13 Mn14 Mn15 Mn16 Mn17 Mn18
COKNAT_clean.cif, 18, Zn1 Zn2 Zn3 Zn4 Zn5 Zn6 Zn7 Zn8 Zn9 Zn10 Zn11 Zn12 Zn13 Zn14 Zn15 Zn16 Zn17 Zn18
COKPEZ_clean.cif, 18, Mg1 Mg2 Mg3 Mg4 Mg5 Mg6 Mg7 Mg8 Mg9 Mg10 Mg11 Mg12 Mg13 Mg14 Mg15 Mg16 Mg17 Mg18
COKPID_clean.cif, 18, Fe1 Fe2 Fe3 Fe4 Fe5 Fe6 Fe7 Fe8 Fe9 Fe10 Fe11 Fe12 Fe13 Fe14 Fe15 Fe16 Fe17 Fe18
COKPOJ_clean.cif, 18, Co1 Co2 Co3 Co4 Co5 Co6 Co7 Co8 Co9 Co10 Co11 Co12 Co13 Co14 Co15 Co16 Co17 Co18
COKPUP_clean.cif, 18, Zn1 Zn2 Zn3 Zn4 Zn5 Zn6 Zn7 Zn8 Zn9 Zn10 Zn11 Zn12 Zn13 Zn14 Zn15 Zn16 Zn17 Zn18
COKQAW_clean.cif, 18, Cu1 Cu2 Cu3 Cu4 Cu5 Cu6 Cu7 Cu8 Cu9 Cu10 Cu11 Cu12 Cu13 Cu14 Cu15 Cu16 Cu17 Cu18
COKQEA_clean.cif, 18, Co1 Co2 Co3 Co4 Co5 Co6 Co7 Co8 Co9 Co10 Co11 Co12 Co13 Co14 Co15 Co16 Co17 Co18
COKQIE_clean.cif, 18, Fe1 Fe2 Fe3 Fe4 Fe5 Fe6 Fe7 Fe8 Fe9 Fe10 Fe11 Fe12 Fe13 Fe14 Fe15 Fe16 Fe17 Fe18
COKQOK_clean.cif, 18, Zn1 Zn2 Zn3 Zn4 Zn5 Zn6 Zn7 Zn8 Zn9 Zn10 Zn11 Zn12 Zn13 Zn14 Zn15 Zn16 Zn17 Zn18
COKROL_clean.cif, 4, In5 In6 In7 In8
COKRUR_clean.cif, 16, In2 In4 In6 In8 In10 In12 In14 In16 In18 In20 In22 In24 In25 In27 In29 In31
COLPEA_clean.cif, 8, Co1 Co2 Co4 Co5 Co7 Co8 Co10 Co11
COMDOY_clean.cif, no open metal sites detected
COMGUH_clean.cif, 4, Na1 Na2 Na3 Na4
COMZAH_clean.cif, no open metal sites detected
COPXOV_clean.cif, 12, Co1 Co2 Co3 Co4 Co5 Co6 Co7 Co8 Co9 Co10 Co11 Co12
COQGAS_clean.cif, no open metal sites detected
COQHUN_clean.cif, 6, Mn1 Mn2 Mn3 Mn4 Co1 Co2
COQJAV_clean.cif, 8, Mn1 Mn2 Mn3 Mn4 Mn5 Mn6 Mn7 Mn8
COQLAX_clean.cif, 36, Ag1 Ag2 Ag3 Ag4 Ag5 Ag6 Ag7 Ag8 Ag9 Ag10 Ag11 Ag12 Ag13 Ag14 Ag15 Ag16 Ag17 Ag18 Ag19 Ag20 Ag21 Ag22 Ag23 Ag24 Ag25 Ag26 Ag27 Ag28 Ag29 Ag30 Ag31 Ag32 Ag33 Ag34 Ag35 Ag36
COQNIF_clean.cif, no open metal sites detected
COQTEJ_clean.cif, 4, Mg2 Mg4 Mg6 Mg8
CORZIU_clean.cif, 8, In1 In2 In3 In4 In5 In6 In7 In8
COSMII_clean.cif, 6, In1 In2 In3 In4 In5 In6
COSWEO_clean.cif, no open metal sites detected
COTVIS_clean.cif, 4, Nd2 Nd4 Nd6 Nd8
COTVOY_clean.cif, 4, Sm2 Sm4 Sm6 Sm8
COTVUE_clean.cif, 4, Dy2 Dy4 Dy6 Dy8
COTXEQ_clean.cif, 4, Cd1 Cd2 Cd3 Cd4
COTXIU_clean.cif, 4, Cd1 Cd2 Cd3 Cd4
COTXOA_clean.cif, 4, Cd1 Cd2 Cd3 Cd4
COTYIV_clean.cif, 64, Cu1 Cu2 Cu3 Cu4 Cu5 Cu6 Cu7 Cu8 Cu9 Cu10 Cu11 Cu12 Cu13 Cu14 Cu15 Cu16 Cu17 Cu18 Cu19 Cu20 Cu21 Cu22 Cu23 Cu24 Cu25 Cu26 Cu27 Cu28 Cu29 Cu30 Cu31 Cu32 Cu33 Cu34 Cu35 Cu36 Cu37 Cu38 Cu39 Cu40 Cu41 Cu42 Cu43 Cu44 Cu45 Cu46 Cu47 Cu48 Cu49 Cu50 Cu51 Cu52 Cu53 Cu54 Cu55 Cu56 Cu57 Cu58 Cu59 Cu60 Cu61 Cu62 Cu63 Cu64
COVJAA_clean.cif, 16, Ni1 Ni2 Ni3 Ni4 Ni5 Ni6 Ni7 Ni8 Ni9 Ni10 Ni11 Ni12 Ni13 Ni14 Ni15 Ni16
COVPAG_clean.cif, 16, K1 K2 K3 K4 K5 K6 K7 K8 K9 K10 K11 K12 K13 K14 K15 K16
